year,avgR
1902,3.5
1903,2.5
1908,4.0
1915,2.0
1916,3.5
1916,3.5
1916,3.75
1916,3.5
1917,4.5
1919,2.0
1920,3.5
1920,3.857142857142857
1921,4.1
1922,3.53125
1923,3.0
1923,4.0
1923,3.25
1923,4.0
1924,3.5
1924,3.5
1924,3.0
1924,4.5
1924,4.0
1925,3.65
1925,4.0
1925,4.071428571428571
1925,3.0
1926,3.5
1926,4.5
1926,4.0
1926,4.0
1926,4.0
1927,3.857142857142857
1927,4.0
1927,3.0
1927,3.5
1927,1.0
1927,3.5
1927,4.0
1928,3.9
1928,4.125
1928,2.3333333333333335
1928,4.5
1929,3.3333333333333335
1929,3.5
1929,4.5
1929,3.0
1930,3.5
1930,4.0
1930,4.125
1930,4.0
1930,4.35
1931,3.5
1931,3.5
1931,4.25
1931,3.6176470588235294
1931,2.0
1931,3.5
1931,3.3333333333333335
1931,3.909090909090909
1931,5.0
1931,4.0
1931,3.7333333333333334
1931,3.8461538461538463
1931,0.5
1931,1.0
1932,3.6666666666666665
1932,3.75
1932,0.5
1932,4.0
1932,4.0
1932,3.0
1932,3.1666666666666665
1932,3.3333333333333335
1932,3.5
1933,3.8043478260869565
1933,4.0
1933,3.0
1933,4.0
1933,3.5
1933,4.0
1933,3.64
1933,3.5
1933,3.0
1933,4.0
1933,4.0
1933,3.5
1934,5.0
1934,3.857142857142857
1934,3.6666666666666665
1934,3.5
1934,3.5
1934,4.166666666666667
1934,3.5
1934,4.5
1934,4.321428571428571
1934,4.5
1935,4.5
1935,4.071428571428571
1935,4.0
1935,3.5
1935,4.0
1935,3.5
1935,3.1666666666666665
1935,3.5
1935,3.5
1935,4.166666666666667
1935,4.0
1935,4.045454545454546
1935,4.111111111111111
1936,0.5
1936,3.5
1936,3.5
1936,4.0
1936,3.75
1936,3.0
1936,4.0
1936,3.72
1936,3.5
1936,4.0
1936,3.375
1936,3.5
1936,3.25
1936,3.0
1936,3.75
1936,3.0
1936,4.0
1936,2.8333333333333335
1937,4.0
1937,4.5
1937,2.5
1937,3.5
1937,4.75
1937,3.616883116883117
1937,4.166666666666667
1937,3.5
1937,4.0
1937,4.5
1937,4.0
1937,3.0
1937,2.5
1937,3.25
1937,3.7142857142857144
1937,4.0
1938,3.75
1938,3.5
1938,3.8333333333333335
1938,3.5
1938,4.0
1938,3.861111111111111
1938,3.25
1938,3.8333333333333335
1938,4.0
1938,4.0
1938,3.9166666666666665
1938,3.5
1938,3.375
1938,3.0
1938,4.0
